PlayerID,Score,GameName,Date,Notes
Alex E.,2.0,Clue,07/20/2024,
Isabelle,2.0,Clue,07/20/2024,
Alex E.,1.0,Pit,08/24/2024,
Teresa,0.0,Pit,08/24/2024,First game night
Isabelle,1.0,Clue,08/31/2024,
Alex B.,1.0,Ready Set Bet,10/05/2024,First game
Alex E.,1.0,Betrayal at House on the Hill (2nd Edition),10/05/2024,"Fast game, stupid dragon"
Nainoa,1.0,Clue,10/26/2024,
Alex O.,1.0,Clue,10/26/2024,
Alex E.,1.0,Clue,10/26/2024,
Xavier A,1.0,Clue,10/26/2024,
Alex E.,1.0,Clue,10/26/2024,
Alex E.,2.0,Clue,11/02/2024,1 hour game
Nainoa,1.0,Unstable Unicorns (NSFW),11/02/2024,
Alex E.,2.0,Carcassonne,12/07/2024,
Dave,2.0,Carcassonne,12/07/2024,
